label,x,y,z
5 33,299237.38531182107,6695897.308775477,70.4049
5 34,299237.3253326552,6695898.161415888,70.39138
5 35,299237.2653534893,6695899.014056299,70.30531
5 36,299237.2053743234,6695899.86669671,70.30531
5 37,299237.1453951575,6695900.719337122,70.21355
5 38,299237.0854159916,6695901.5719775325,70.15099
5 39,299237.0254368257,6695902.424617943,70.12693
5 40,299236.96545765986,6695903.277258354,70.30643
5 41,299236.90547849395,6695904.129898765,70.25725
5 42,299236.84549932805,6695904.982539176,70.25725
5 43,299236.78552016214,6695905.835179587,70.18098
5 44,299236.72554099624,6695906.687819998,70.10587
5 45,299236.66556183033,6695907.54046041,70.07963
5 46,299236.6055826645,6695908.3931008205,70.01785
5 47,299236.5456034986,6695909.245741231,69.985016
5 48,299236.4856243327,6695910.098381642,69.9406
5 49,299236.4256451668,6695910.951022053,69.9406
5 50,299236.3656660009,6695911.803662464,69.90256
5 51,299236.30568683497,6695912.656302875,69.864456
5 52,299236.2457076691,6695913.508943286,69.84038
5 53,299236.1857285032,6695914.361583698,69.81051
5 54,299236.1257493373,6695915.2142241085,69.78064
5 55,299236.0657701714,6695916.066864519,69.764366
5 56,299236.0057910055,6695916.91950493,69.764366
5 57,299235.9458118396,6695917.772145341,69.846436
5 58,299235.88583267375,6695918.624785752,69.818504
5 59,299235.82585350785,6695919.477426163,69.782104
5 60,299235.76587434195,6695920.330066574,69.76227
5 61,299235.70589517604,6695921.182706986,69.72859
5 62,299235.64591601014,6695922.0353473965,69.683556
5 63,299235.58593684423,6695922.887987807,69.683556
5 64,299235.5259576784,6695923.740628218,69.69762
5 65,299235.4659785125,6695924.593268629,69.691414
5 66,299235.4059993466,6695925.44590904,69.66498
5 67,299235.3460201807,6695926.298549451,69.6362
5 68,299235.28604101477,6695927.151189862,69.62837
5 69,299235.22606184887,6695928.003830274,69.66666
5 70,299235.166082683,6695928.8564706845,69.66666
5 71,299235.1061035171,6695929.709111095,69.6949
5 72,299235.0461243512,6695930.561751506,69.7212
5 73,299234.9861451853,6695931.414391917,69.85761
5 74,299234.9261660194,6695932.267032328,69.987114
5 75,299234.8661868535,6695933.119672739,70.05961
5 76,299234.80620768765,6695933.97231315,70.05961
5 77,299234.74622852175,6695934.824953562,70.18675
5 78,299234.68624935584,6695935.6775939725,70.22622
5 79,299234.62627018994,6695936.530234383,70.245445
5 80,299234.56629102404,6695937.382874794,70.27194
5 81,299234.50631185813,6695938.235515205,70.298485
5 82,299234.4463326923,6695939.088155616,70.31546
5 83,299234.3863535264,6695939.940796027,70.31546
5 84,299234.3263743605,6695940.793436438,70.326614
5 85,299234.2663951946,6695941.64607685,70.32905
5 86,299234.20641602867,6695942.498717261,70.33002
5 87,299234.14643686276,6695943.351357671,70.33928
5 88,299234.0864576969,6695944.203998082,70.34357
5 89,299234.026478531,6695945.056638493,70.34201
5 90,299233.9664993651,6695945.909278904,70.35754
5 91,299233.9065201992,6695946.761919315,70.38723
5 92,299233.8465410333,6695947.614559726,70.3587
5 93,299233.7865618674,6695948.467200138,70.36143
5 94,299233.72658270155,6695949.319840549,70.35412
5 95,299233.66660353565,6695950.172480959,70.33986
5 96,299233.60662436974,6695951.02512137,70.33808
6 1,299320.3599796026,6695991.874825507,70.561646
6 2,299320.31489766587,6695992.807696325,70.54877
6 3,299320.26981572906,6695993.740567142,70.542854
6 4,299320.2247337923,6695994.6734379595,70.529366
6 5,299320.17965185555,6695995.606308777,70.520325
6 6,299320.13456991874,6695996.539179594,70.50882
6 7,299320.089487982,6695997.472050412,70.49535
6 8,299320.04440604517,6695998.404921229,70.47743
6 9,299319.9993241084,6695999.337792047,70.45473
6 10,299319.95424217166,6696000.270662865,70.44913
6 11,299319.90916023485,6696001.203533682,70.42764
6 12,299319.8640782981,6696002.136404499,70.41066
6 13,299319.81899636134,6696003.069275317,70.39354
6 14,299319.7739144245,6696004.002146134,70.40155
6 15,299319.7288324878,6696004.9350169515,70.40155
6 16,299319.683750551,6696005.867887769,70.39949
6 17,299319.6386686142,6696006.800758586,70.379524
6 18,299319.59358667745,6696007.733629404,70.36615
6 19,299319.5485047407,6696008.666500221,70.37857
6 20,299319.5034228039,6696009.599371038,70.361824
6 21,299319.45834086713,6696010.532241856,70.37416
6 22,299319.4132589303,6696011.465112673,70.3704
6 23,299319.36817699356,6696012.3979834905,70.36961
6 24,299319.3230950568,6696013.330854308,70.36463
6 25,299319.27801312,6696014.263725126,70.36883
6 26,299319.23293118324,6696015.1965959435,70.390076
6 27,299319.1878492465,6696016.129466761,70.3937
6 28,299319.1427673097,6696017.062337578,70.39536
6 29,299319.0976853729,6696017.995208396,70.39536
6 30,299319.05260343617,6696018.928079213,70.39239
6 31,299319.00752149936,6696019.86095003,70.39468
6 32,299318.9624395626,6696020.793820848,70.355965
6 33,299318.91735762585,6696021.726691665,70.34743
6 34,299318.87227568903,6696022.6595624825,70.36815
6 35,299318.8271937523,6696023.5924333,70.37992
6 36,299318.78211181547,6696024.525304117,70.3956
6 37,299318.7370298787,6696025.458174935,70.371056
6 38,299318.69194794196,6696026.391045752,70.36087
6 39,299318.64686600515,6696027.323916569,70.26163
6 40,299318.6017840684,6696028.256787387,70.27401
6 41,299318.55670213164,6696029.189658205,70.314354
6 42,299318.5116201948,6696030.122529022,70.33485
6 43,299318.4665382581,6696031.05539984,70.33837
6 44,299318.4214563213,6696031.988270657,70.33837
6 45,299318.3763743845,6696032.9211414745,70.32041
6 46,299318.33129244775,6696033.854012292,70.26169
6 47,299318.286210511,6696034.786883109,70.231224
6 48,299318.2411285742,6696035.719753927,70.20041
6 49,299318.19604663743,6696036.652624744,70.197174
6 50,299318.1509647006,6696037.585495561,70.13636
6 51,299318.10588276386,6696038.518366379,70.08549
6 52,299318.0608008271,6696039.451237196,70.09807
6 53,299318.0157188903,6696040.3841080135,70.08025
6 54,299317.97063695354,6696041.316978831,70.15064
6 55,299317.9255550168,6696042.249849648,70.17325
6 56,299317.88047308,6696043.182720466,70.19082
6 57,299317.8353911432,6696044.115591284,70.096954
6 58,299317.79030920647,6696045.048462101,70.15099
6 59,299317.74522726965,6696045.981332919,70.15099
6 60,299317.7001453329,6696046.914203736,70.12679
6 61,299317.65506339615,6696047.847074553,70.08959
6 62,299317.60998145933,6696048.779945371,70.086876
6 63,299317.5648995226,6696049.712816188,70.062614
6 64,299317.51981758577,6696050.6456870055,70.072716
6 65,299317.474735649,6696051.578557823,70.053665
6 66,299317.42965371226,6696052.51142864,70.10518
6 67,299317.38457177544,6696053.444299458,70.285194
6 68,299317.3394898387,6696054.377170275,70.49761
6 69,299317.29440790194,6696055.310041092,70.59347
6 70,299317.2493259651,6696056.24291191,70.52466
6 71,299317.20424402837,6696057.175782727,70.56029
6 72,299317.1591620916,6696058.108653544,70.53756
6 73,299317.1140801548,6696059.041524363,70.4413
6 74,299317.06899821805,6696059.97439518,70.4413
6 75,299317.0239162813,6696060.9072659975,70.33737
6 76,299316.9788343445,6696061.840136815,70.183685
6 77,299316.9337524077,6696062.773007632,70.22575
